track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,shazam_counts,explicit_track
Raja Ji,Raja Ji,Pawan Singh,2023-06-30,ING642304903,"3,581",23,27244358,456,263080,61,175350809,995898,182200,26534406,265917250,29757537,28,5954,86,15,237120,17,12735768,7832,12266,0
ýý ýýýýýýýýýý,ýý ýýýýýýýýýý - Single,A.V.G,2023-07-17,DGA062340713,"3,593",23,10694922,5363,288263,50,120681039,653249,182200,762205,16374449,292889844,7,5954,86,15,237120,17,12735768,7832,1593368,0
HIND'S HALL,HIND'S HALL,Macklemore,2024-05-10,ZZOPM2445925,"3,589",23,22463244,2291,2406268,73,2237688,147286,182200,111800,272100,98142716,6,985,86,3,1686021,1,98723,229,86524,1
I'm Geekin,I'm Geekin,DDG,2023-04-21,USSM12302214,"3,584",23,76004507,24334,3477076,60,9862592,231074,480208,182882813,1467434192,203939429,9,15042,351,10,94029,17,1710046,1518,132370,1
Hey Lil Mamï¿,Sol Marï¿½,Eladio Carrion,2024-01-19,QMFMG2346935,"3,574",23,77975794,7057,10565513,71,27130599,231540,182200,26534406,265917250,110197195,11,1124,3,9,72838,9,554815,328,262176,0
Sunrise,One Thing At A Time,Morgan Wallen,2023-03-03,USUG12300812,"3,579",23,104516305,16554,1412703,67,44535669,284688,32776,2219054,23849216,98142716,3,155,86,15,237120,17,68775651,10824,153036,0
Para de Mentir,Para de Mentir,Oruam,2023-11-16,BCM9A2300096,"3,569",23,44091443,4971,5768959,67,81099679,575459,182200,226237,1998040,349814773,28,5954,86,16,466460,8,12735768,7832,854584,0
TRYNA MAKE SURE,TRYNA MAKE SURE,Moneybagg Yo,2024-05-03,USUM72404717,"3,591",23,5588636,1252,7389987,67,5680064,87918,182200,26534406,265917250,191383970,17,2,27,3,1369715,18,4153458,165,32511,1
Yo Ya No Vuelvo Contigo - En Vivo,Viva Mï¿½ï¿½xico (En V,Grupo Firme,2020-11-25,QZDQH1908793,"3,587",23,1969714,502,83027,29,678412558,2502471,2322,547396,10405552,17029446,28,5954,86,15,237120,3,516773,1499,854584,0
Bertahan Terluka,Bertahan Terluka - Single,Fabio Asher,2022-02-02,SGB502203331,"3,603",23,171663870,10620,2901653,4,169981704,823356,1446616,315673377,4039554717,2312695,5,2475,86,15,237120,17,12735768,7832,89958,0
